Date,Open,High,Low,Close,Adj Close,Volume
2015-11-17,52.150002,53.110001000000004,52.055,52.66,51.369003,717400
2015-11-18,52.549999,53.125,52.174999,53.080002,51.778717,659800
2015-11-19,52.740002000000004,53.5,52.700001,53.259997999999996,51.954291999999995,589200
2015-11-20,53.59,53.715,52.645,52.68,51.388515000000005,789800
2015-11-23,52.955002,53.435001,52.744999,52.785,51.49094,726600
2015-11-24,52.634997999999996,52.805,52.200001,52.465,51.178787,855800
2015-11-25,52.580002,52.764998999999996,52.395,52.540001000000004,51.251953,1084600
2015-11-27,52.669998,53.494999,52.290001000000004,53.255001,51.949421,479000
2015-11-30,53.255001,53.490002000000004,51.185001,51.27,50.013084,3107600
2015-12-01,51.285,52.32,51.285,51.945,50.840107,2898200
2015-12-02,51.125,52.130001,50.424999,51.014998999999996,49.92989,2058200
2015-12-03,50.959998999999996,52.119999,50.564999,50.759997999999996,49.680313,1619400
2015-12-04,51.044998,52.474998,50.855,52.355,51.24139,1111600
2015-12-07,51.91,52.514998999999996,51.134997999999996,51.560001,50.463303,876400
2015-12-08,51.16,51.619999,50.974998,51.509997999999996,50.414359999999995,568600
2015-12-09,51.424999,51.779999,51.055,51.32,50.228401,1602000
2015-12-10,51.25,51.584998999999996,50.240002000000004,50.240002000000004,49.171378999999995,1177200
2015-12-11,49.75,50.389998999999996,49.514998999999996,50.02,48.956059,1307200
2015-12-14,49.654999,50.615002000000004,49.380001,50.505001,49.43074,2169200
2015-12-15,50.884997999999996,51.095001,50.305,50.685001,49.606907,1019400
